uname	n	med.c.s.area	med.c.s.perimeter	med.c.s.radius.mean	med.c.s.radius.sd	med.c.s.radius.min	med.c.s.radius.max	med.n.s.area	med.n.s.perimeter	med.n.s.radius.mean	med.n.s.radius.sd	med.n.s.radius.min	med.n.s.radius.max	med.c.a.m.cx	med.c.a.m.cy	med.c.a.m.majoraxis	med.c.a.m.eccentricity	med.c.a.m.theta	med.c.t.m.cx	med.c.t.m.cy	med.c.t.m.majoraxis	med.c.t.m.eccentricity	med.c.t.m.theta	med.c.h.m.cx	med.c.h.m.cy	med.c.h.m.majoraxis	med.c.h.m.eccentricity	med.c.h.m.theta	med.c.m.m.cx	med.c.m.m.cy	med.c.m.m.majoraxis	med.c.m.m.eccentricity	med.c.m.m.theta	med.n.a.m.cx	med.n.a.m.cy	med.n.a.m.majoraxis	med.n.a.m.eccentricity	med.n.a.m.theta	med.n.t.m.cx	med.n.t.m.cy	med.n.t.m.majoraxis	med.n.t.m.eccentricity	med.n.t.m.theta	med.n.h.m.cx	med.n.h.m.cy	med.n.h.m.majoraxis	med.n.h.m.eccentricity	med.n.h.m.theta	med.c.a.b.mean	med.c.a.b.sd	med.c.a.b.mad	med.c.a.b.q001	med.c.a.b.q005	med.c.a.b.q05	med.c.a.b.q095	med.c.a.b.q099	med.c.t.b.mean	med.c.t.b.sd	med.c.t.b.mad	med.c.t.b.q001	med.c.t.b.q005	med.c.t.b.q05	med.c.t.b.q095	med.c.t.b.q099	med.c.h.b.mean	med.c.h.b.sd	med.c.h.b.mad	med.c.h.b.q001	med.c.h.b.q005	med.c.h.b.q05	med.c.h.b.q095	med.c.h.b.q099	med.c.m.b.mean	med.c.m.b.sd	med.c.m.b.mad	med.c.m.b.q001	med.c.m.b.q005	med.c.m.b.q05	med.c.m.b.q095	med.c.m.b.q099	med.n.a.b.mean	med.n.a.b.sd	med.n.a.b.mad	med.n.a.b.q001	med.n.a.b.q005	med.n.a.b.q05	med.n.a.b.q095	med.n.a.b.q099	med.n.t.b.mean	med.n.t.b.sd	med.n.t.b.mad	med.n.t.b.q001	med.n.t.b.q005	med.n.t.b.q05	med.n.t.b.q095	med.n.t.b.q099	med.n.h.b.mean	med.n.h.b.sd	med.n.h.b.mad	med.n.h.b.q001	med.n.h.b.q005	med.n.h.b.q05	med.n.h.b.q095	med.n.h.b.q099	med.c.a.h.asm.s1	med.c.a.h.con.s1	med.c.a.h.cor.s1	med.c.a.h.var.s1	med.c.a.h.idm.s1	med.c.a.h.sav.s1	med.c.a.h.sva.s1	med.c.a.h.sen.s1	med.c.a.h.ent.s1	med.c.a.h.dva.s1	med.c.a.h.den.s1	med.c.a.h.f12.s1	med.c.a.h.f13.s1	med.c.a.h.asm.s2	med.c.a.h.con.s2	med.c.a.h.cor.s2	med.c.a.h.var.s2	med.c.a.h.idm.s2	med.c.a.h.sav.s2	med.c.a.h.sva.s2	med.c.a.h.sen.s2	med.c.a.h.ent.s2	med.c.a.h.dva.s2	med.c.a.h.den.s2	med.c.a.h.f12.s2	med.c.a.h.f13.s2	med.c.t.h.asm.s1	med.c.t.h.con.s1	med.c.t.h.cor.s1	med.c.t.h.var.s1	med.c.t.h.idm.s1	med.c.t.h.sav.s1	med.c.t.h.sva.s1	med.c.t.h.sen.s1	med.c.t.h.ent.s1	med.c.t.h.dva.s1	med.c.t.h.den.s1	med.c.t.h.f12.s1	med.c.t.h.f13.s1	med.c.t.h.asm.s2	med.c.t.h.con.s2	med.c.t.h.cor.s2	med.c.t.h.var.s2	med.c.t.h.idm.s2	med.c.t.h.sav.s2	med.c.t.h.sva.s2	med.c.t.h.sen.s2	med.c.t.h.ent.s2	med.c.t.h.dva.s2	med.c.t.h.den.s2	med.c.t.h.f12.s2	med.c.t.h.f13.s2	med.c.h.h.asm.s1	med.c.h.h.con.s1	med.c.h.h.cor.s1	med.c.h.h.var.s1	med.c.h.h.idm.s1	med.c.h.h.sav.s1	med.c.h.h.sva.s1	med.c.h.h.sen.s1	med.c.h.h.ent.s1	med.c.h.h.dva.s1	med.c.h.h.den.s1	med.c.h.h.f12.s1	med.c.h.h.f13.s1	med.c.h.h.asm.s2	med.c.h.h.con.s2	med.c.h.h.cor.s2	med.c.h.h.var.s2	med.c.h.h.idm.s2	med.c.h.h.sav.s2	med.c.h.h.sva.s2	med.c.h.h.sen.s2	med.c.h.h.ent.s2	med.c.h.h.dva.s2	med.c.h.h.den.s2	med.c.h.h.f12.s2	med.c.h.h.f13.s2	med.c.m.h.asm.s1	med.c.m.h.con.s1	med.c.m.h.cor.s1	med.c.m.h.var.s1	med.c.m.h.idm.s1	med.c.m.h.sav.s1	med.c.m.h.sva.s1	med.c.m.h.sen.s1	med.c.m.h.ent.s1	med.c.m.h.dva.s1	med.c.m.h.den.s1	med.c.m.h.f12.s1	med.c.m.h.f13.s1	med.c.m.h.asm.s2	med.c.m.h.con.s2	med.c.m.h.cor.s2	med.c.m.h.var.s2	med.c.m.h.idm.s2	med.c.m.h.sav.s2	med.c.m.h.sva.s2	med.c.m.h.sen.s2	med.c.m.h.ent.s2	med.c.m.h.dva.s2	med.c.m.h.den.s2	med.c.m.h.f12.s2	med.c.m.h.f13.s2	med.n.a.h.asm.s1	med.n.a.h.con.s1	med.n.a.h.cor.s1	med.n.a.h.var.s1	med.n.a.h.idm.s1	med.n.a.h.sav.s1	med.n.a.h.sva.s1	med.n.a.h.sen.s1	med.n.a.h.ent.s1	med.n.a.h.dva.s1	med.n.a.h.den.s1	med.n.a.h.f12.s1	med.n.a.h.f13.s1	med.n.a.h.asm.s2	med.n.a.h.con.s2	med.n.a.h.cor.s2	med.n.a.h.var.s2	med.n.a.h.idm.s2	med.n.a.h.sav.s2	med.n.a.h.sva.s2	med.n.a.h.sen.s2	med.n.a.h.ent.s2	med.n.a.h.dva.s2	med.n.a.h.den.s2	med.n.a.h.f12.s2	med.n.a.h.f13.s2	med.n.t.h.asm.s1	med.n.t.h.con.s1	med.n.t.h.cor.s1	med.n.t.h.var.s1	med.n.t.h.idm.s1	med.n.t.h.sav.s1	med.n.t.h.sva.s1	med.n.t.h.sen.s1	med.n.t.h.ent.s1	med.n.t.h.dva.s1	med.n.t.h.den.s1	med.n.t.h.f12.s1	med.n.t.h.f13.s1	med.n.t.h.asm.s2	med.n.t.h.con.s2	med.n.t.h.cor.s2	med.n.t.h.var.s2	med.n.t.h.idm.s2	med.n.t.h.sav.s2	med.n.t.h.sva.s2	med.n.t.h.sen.s2	med.n.t.h.ent.s2	med.n.t.h.dva.s2	med.n.t.h.den.s2	med.n.t.h.f12.s2	med.n.t.h.f13.s2	med.n.h.h.asm.s1	med.n.h.h.con.s1	med.n.h.h.cor.s1	med.n.h.h.var.s1	med.n.h.h.idm.s1	med.n.h.h.sav.s1	med.n.h.h.sva.s1	med.n.h.h.sen.s1	med.n.h.h.ent.s1	med.n.h.h.dva.s1	med.n.h.h.den.s1	med.n.h.h.f12.s1	med.n.h.h.f13.s1	med.n.h.h.asm.s2	med.n.h.h.con.s2	med.n.h.h.cor.s2	med.n.h.h.var.s2	med.n.h.h.idm.s2	med.n.h.h.sav.s2	med.n.h.h.sva.s2	med.n.h.h.sen.s2	med.n.h.h.ent.s2	med.n.h.h.dva.s2	med.n.h.h.den.s2	med.n.h.h.f12.s2	med.n.h.h.f13.s2	med.c.at.cor	med.c.ah.cor	med.c.th.cor	med.n.at.cor	med.n.ah.cor	med.n.th.cor	D	I	M
001-01-A03	18	1640.5	164	24.2034370512459	5.7003535853773	11.6793364226175	34.7334701532717	498.5	77.5	12.5048059077438	2.49014448092404	6.98849151468912	16.0515234858033	594.587109386081	139.259363684602	52.6988720743109	0.782508889045092	0.33586868582143	594.050799494083	138.015627758279	47.9560502129003	0.759146072040792	0.267928840092133	592.554861644869	135.617739763473	38.3880804164734	0.644592147359635	0.615610027779204	594.414713620116	138.760248463453	49.9975864767514	0.773402126844395	0.275382035727452	592.677053836922	136.494154880448	28.9043153221481	0.743139994329882	0.472063341014435	591.667644111451	137.24365818453	26.9111578697533	0.708272960256078	0.345649117082483	592.378345212662	135.893236356833	26.735308252604	0.697125142315665	0.357615207768143	0.472401339769188	0.245661857535177	0.213145552941176	0.0511764705882353	0.0677647058823529	0.427176470588235	0.941411764705883	1.13024117647059	0.412347320292659	0.293067885929268	0.263205105882353	0.0642352941176471	0.0839607843137255	0.320666666666667	1.01105882352941	1.30092490196078	0.248109649708207	0.295795648387823	0.0869210588235292	0.0141568627450981	0.0258823529411765	0.107960784313726	0.881843137254902	1.06945098039216	0.64886861130713	0.413835096662037	0.394662629155121	0.109648592261757	0.128372233768249	0.560822080805762	1.39348321523001	1.57339707717407	0.528927273891058	0.122627542360288	0.0901769647058823	0.217058823529411	0.277329411764705	0.488	0.766129411764706	0.892808235294118	0.554049791207046	0.224942268362605	0.190092576470588	0.251627450980392	0.281215686274509	0.517921568627451	1.08996078431372	1.22803921568627	0.625035869653938	0.238061837656178	0.252071070588235	0.207627450980392	0.277980392156863	0.588705882352941	1.06945098039216	1.16911764705882	0.0313200130284348	3.76713485381614	0.92865309012759	51.2251955938096	0.573695435181123	31.0616454208159	1081.51963733706	1.54831758309455	1.97516488133226	3.76713485381614	0.637241034766907	0.399887965555509	0.770785889549612	0.0220480803470909	12.5650470648554	0.798255246061647	49.1586627981601	0.434148234831611	31.5431830685513	1087.55074784463	1.54486258661674	2.10300519806801	12.5650470648554	0.867593793368689	0.281448484816955	0.682171258993658	0.0301944797713201	3.26328633399448	0.971037216498614	71.3418195340109	0.585520633477703	26.6829516872308	855.885384452908	1.55527248104401	1.96398598805344	3.26328633399448	0.63305377516373	0.424453765049259	0.818055878959205	0.0182627481783311	10.9564542191084	0.897600466954965	70.8594345546033	0.422389071532616	27.3678630697962	869.054764273951	1.56274223972846	2.10690434407014	10.9564542191084	0.844444072352587	0.296476103804459	0.732743865453231	0.0992509413311	2.92079186494634	0.978942042522481	80.3961002792466	0.697592602990533	15.4132150373538	545.308692017414	1.38128821393432	1.69151715201506	2.92079186494634	0.552575244166513	0.529719966547271	0.8117231240828	0.0822024810171093	10.7560159512206	0.924335205962638	81.1436398775457	0.581858466837983	15.6738018139255	540.811249753614	1.37423042558558	1.77584573189437	10.7560159512206	0.752294073629063	0.401566448925256	0.740817114489368	0.0426762377244274	7.72901581195464	0.939850359518473	84.2911180966132	0.558458252839109	38.6344107278101	1756.8131222618	1.48584444654865	1.95286027544638	7.72901581195464	0.762023510042259	0.386994159956112	0.769019669912539	0.0347730540316208	26.7501795668621	0.81598803100037	80.1914683260867	0.422440034779171	39.5656954141618	1769.13790884312	1.50600686395258	2.06623558402707	26.7501795668621	0.969268728062842	0.268245490793641	0.686583896252401	0.0398943423391125	1.68649390488119	0.924030036285632	10.8728985463224	0.621297573215042	32.5510322328286	1070.19506115417	1.2683658346766	1.64294436054713	1.68649390488119	0.519108928623629	0.389098621729507	0.737144235980722	0.031688728762136	4.22101980420901	0.797199473766393	11.3545629514858	0.486178294612761	32.5897531875073	1031.74112550681	1.21786039434459	1.72346606292197	4.22101980420901	0.670458599604288	0.274793039806367	0.646848764962638	0.0335605275164905	2.53680944714894	0.951393940398217	28.0717867529362	0.607293986935737	35.1392589898982	1227.81328752471	1.41596620793218	1.80395143286299	2.53680944714894	0.580432435295226	0.420670971983073	0.776031205379231	0.0258191954219713	7.43367401074707	0.849041748780861	25.4261699736894	0.439351106632257	35.0477855668752	1230.85081530876	1.39938007997122	1.88727452956681	7.43367401074707	0.756055980274869	0.290542487626448	0.684302586418874	0.0201150407972259	7.44076433858432	0.896920863089897	38.2034908337044	0.45067126581639	40.5716140624708	1642.25056610533	1.49925818143624	1.9878352651072	7.44076433858432	0.763157017076739	0.306571852595083	0.704778767180046	0.0136145372476458	24.7140175055277	0.672418238863942	34.6344801622322	0.311059267602352	41.4741100323624	1681.3507789722	1.46309230955658	2.12456190953966	24.7140175055277	0.916972696084974	0.211810570284546	0.593922117205353	0.744834398486712	0.08845419723725	0.51717121269892	0.704256126608928	0.0445732606494316	0.0859837577779352	0.777777777777778	0.222222222222222	0
001-01-A05	87	3020	287	34.9680883491935	10.3801189249318	13.0684024486482	54.7822012715556	561	84	13.2570719107319	2.75056030490358	7.69433563723349	18.2956298439294	423.393740243828	215.081624174109	93.189718321684	0.867414370822658	-0.229089939829347	424.6935126374	219.115331979903	85.1656791221179	0.84510328505596	-0.24286714853999	421.977943953759	219.691339577692	54.7372768458349	0.80398340318656	-0.196533798868375	423.960530264789	216.623189361778	91.8211443811078	0.863978876934009	-0.239386337847335	421.940251207099	219.876307596458	35.0346185403801	0.798135787864884	-0.0929335634201801	422.723704775049	219.299285165037	34.7464294657414	0.785928694918075	-0.162403688220738	421.379539638788	219.867579560143	33.0607058615031	0.795495035016837	-0.195501819960872	0.366496063576946	0.200563601396166	0.163958117647059	0.062235294117647	0.0843529411764705	0.338705882352941	0.714705882352941	0.958	0.271255233328763	0.175378100802212	0.116980047058824	0.0839607843137255	0.103686274509804	0.222039215686275	0.656	0.833529411764706	0.11624885169292	0.177707501546144	0.0173842117647059	0.0141568627450981	0.0258823529411765	0.0258823529411765	0.576980392156863	0.682509803921569	0.46955454415	0.246481324035922	0.220992574523966	0.111451518537151	0.127093737638275	0.442932329851157	0.923770906949394	1.18387116123457	0.415336156862745	0.118125641834272	0.114770682352941	0.206	0.239176470588235	0.382941176470588	0.637294117647059	0.736823529411765	0.434567069703039	0.126375660770798	0.0877350352941178	0.230718431372549	0.261490196078431	0.419294117647059	0.661917647058823	0.794078431372549	0.476358227798162	0.136810186415237	0.139073694117647	0.190039215686275	0.236941176470588	0.506627450980392	0.694235294117647	0.729411764705882	0.0114953486045671	6.69807070805994	0.902521258742175	35.6819608579688	0.482605177472327	23.7791692757253	640.614855516156	1.59574158719209	2.20781781141523	6.69807070805994	0.756825444908067	0.313990432995646	0.746407279032516	0.00785167857928508	17.2584269662921	0.734915974607316	34.9524389928067	0.355117147249214	23.9148160424263	635.853950213302	1.58855718974099	2.35220676488589	17.2584269662921	0.939883345498063	0.187229506646719	0.624042161226205	0.0340420095877918	2.15596826541652	0.964263647964137	29.6691921799611	0.650896794996183	18.0342702540207	401.891358333336	1.46407578039777	1.84182256330992	2.15596826541652	0.55163757970609	0.453689268494116	0.80891450412143	0.0230929252973943	6.1002731174405	0.892554118719558	30.1560191304776	0.513666932611667	18.3483146067416	407.521277660126	1.47252900096676	2.01090450147804	6.1002731174405	0.738860000595385	0.309847772536033	0.715519231390871	0.329813919736876	1.14026639344262	0.983311403223485	32.8745709502378	0.836335224123492	8.17093377252084	175.784282639989	0.895637836230364	1.04439885087952	1.14026639344262	0.370623117455702	0.599713133909115	0.769634310382081	0.293827742148019	4.05385427666315	0.942808208521517	33.7675341409968	0.75877462264439	8.34871794871795	180.337561500464	0.950925106404466	1.17541119859671	4.05385427666315	0.519939518103425	0.471127810362114	0.714355488696332	0.0108320079901649	6.85311209129735	0.931171605740124	52.6316355063287	0.480465292533002	30.277587250353	1032.59829090577	1.65074334801547	2.24969096204723	6.85311209129735	0.759064573228262	0.344448995630217	0.777772562492259	0.0069878626735493	18.4272612270715	0.802712834588211	52.344939516013	0.347910046420458	30.5352241537054	1048.44419742018	1.65033336217627	2.41659924584625	18.4272612270715	0.955500168994255	0.216099810093629	0.666574637171973	0.021030840613676	3.74533856722277	0.858930155895379	13.4493741584262	0.526811304040908	26.1610446137105	671.892091670998	1.37301761215278	1.88112757359079	3.74533856722277	0.655583732118596	0.286958406508425	0.679949960936612	0.0166187877046826	7.73913043478261	0.647765787120784	13.0551159834423	0.394868554807616	26.0106870229008	670.604464642652	1.34632595267125	1.93751479156369	7.73913043478261	0.79463759822241	0.180350655872629	0.574488643339323	0.0321527653755233	1.82644628099174	0.929501912886037	15.0101448167377	0.620651554486164	27.6771653543307	756.086638379033	1.37385246073625	1.7376060949052	1.82644628099174	0.542172398673455	0.39706598392014	0.761403670770411	0.0222767857142857	4.986	0.802291021241653	14.2987064003653	0.47249674579614	27.9279661016949	761.619934173671	1.34588203376028	1.83576058158085	4.986	0.701339621526162	0.262996762675129	0.652021606761576	0.0185644597679426	3.47660901616104	0.883230619856839	16.3804412799278	0.507551802915125	31.4058127018299	992.448782636301	1.42935731522007	1.92053920927637	3.47660901616104	0.65574132858003	0.322151575078109	0.719624325027502	0.0139993062781824	9.77329192546584	0.656971505797642	15.5456705940022	0.361815007495113	32.7928118393235	1034.78292414784	1.3892508559104	2.01146670908415	9.77329192546584	0.844675660985172	0.184511001118304	0.582931902997884	0.55076839190819	0.114613381940801	0.469924414577461	0.479226923371195	-0.135631576162449	-0.0517726226597533	0.0919540229885057	0.873563218390805	0.0344827586206897
001-01-B03	22	1915.5	156.5	25.1734651203596	4.93651456273813	13.2198438033153	31.5827450441247	579.5	83.5	13.3204910392075	2.90724445386472	5.69288504633382	17.9781001175261	255.934906741062	259.445663222981	49.6072565347061	0.703615810817521	-0.106743573435831	255.656621172263	260.105081584497	43.6783570636522	0.6257737387466	-0.196096847938619	257.970464702967	255.10135644126	40.0180634010692	0.712713460791692	-0.155750802600489	255.708826454581	259.649931266937	47.5678844243066	0.691113652788173	-0.440206146591675	256.352370098059	253.822440681095	34.1361496566066	0.759271404070264	-0.0765998101560179	255.927260295108	254.438366789907	30.7178827833824	0.730526011321815	-0.0888471307927123	258.167803067197	253.802159770947	32.5607759676268	0.769625950731654	-0.0321159778872763	0.415877221375571	0.198934191486239	0.196749741176471	0.0788235294117647	0.112	0.394	0.714705882352941	0.847135294117646	0.400494406093694	0.29740892742796	0.219337588235294	0.0445098039215687	0.0642352941176471	0.261490196078431	0.997250980392158	1.37124627450981	0.185413174723229	0.238343143230564	0.0695368470588235	0.0141568627450981	0.0141568627450981	0.066921568627451	0.700098039215686	0.834941176470589	0.561109503640132	0.371521809173408	0.327899031299303	0.107671782090309	0.140148288867912	0.517752206338993	1.28462747520962	1.50894956360723	0.467669648974967	0.147529773772559	0.143463352941177	0.259524705882353	0.299723529411764	0.482470588235295	0.714705882352941	0.836131764705881	0.587602869429	0.262092016885558	0.2485826	0.182588235294118	0.241764705882353	0.527784313725491	1.12941176470589	1.23336509803922	0.532158872833466	0.167571665050456	0.191226329411764	0.199888627450981	0.248666666666667	0.518352941176471	0.759898039215686	0.910629215686275	0.0142848312110999	6.15834031191762	0.931418047072452	36.9485197991032	0.529038138580654	27.3243788637844	798.708792012975	1.58373843160409	2.10222047999974	6.15834031191762	0.722483801286183	0.363255128711385	0.767592544085944	0.00997864066259302	15.2809157942292	0.819939337695577	34.8795750804634	0.373005322130306	27.3512189088676	776.49492517716	1.5522831777495	2.24442171474801	15.2809157942292	0.929332601873869	0.24093948901198	0.661358254906318	0.0224079252954625	3.15554287487649	0.974004112038847	74.8310499573358	0.553218759712316	25.6903759739983	864.823061529679	1.59718838841876	2.06055331864654	3.15554287487649	0.63491256420738	0.44920042068955	0.826759159176258	0.0149105222409168	11.0505933737639	0.91300691404206	71.8696944763729	0.383692811007905	26.1195384162399	871.016530629426	1.60624275156579	2.14766745536782	11.0505933737639	0.860637378647801	0.319947777242774	0.746281993119289	0.115120264113161	2.1957066779649	0.979878568394179	56.4546039814173	0.6827086072777	12.8766863644912	388.985785625932	1.33657454274353	1.67270319204985	2.1957066779649	0.517609383702434	0.525769402457329	0.814869517126703	0.088186234541154	6.988415755548	0.928004987408384	56.8886613225794	0.553801000880828	13.2187643783786	382.429828385261	1.3570205918403	1.81303372617054	6.988415755548	0.726497793589543	0.397108411162348	0.747485991801839	0.0173419484518671	6.96569071450355	0.956737292558816	80.0974069764559	0.486758293158055	34.9624658336588	1398.09112884019	1.65071453807742	2.21843284014487	6.96569071450355	0.770480672872962	0.359042624208772	0.791996974055379	0.0134787830146064	22.0317966165749	0.863895949778165	75.5518914890102	0.352109950350915	35.8022728376034	1427.06528209381	1.64440323694044	2.34538256935785	22.0317966165749	0.989807469153398	0.248857939400515	0.700347656047705	0.0242364225358103	4.09871814821102	0.900780790313614	18.836026168915	0.536634885418005	29.985274332416	904.698652019571	1.38370794557771	1.86544587958853	4.09871814821102	0.660411062137102	0.337556327746813	0.725306684362596	0.0218465659036318	9.55175517551756	0.769075232626516	18.5789975280719	0.410157586396717	30.1221387661106	904.085104080942	1.39279646162855	1.90455732760624	9.55175517551756	0.827544127772532	0.237438878787928	0.628103573961515	0.0237843529650353	3.35969016042684	0.957889375430018	49.8973695290591	0.547344227525574	36.3141528249269	1465.2623639574	1.51263833037254	1.94416337772745	3.35969016042684	0.652826337942022	0.426197018922907	0.808557219073041	0.0177251451442885	10.9589754773674	0.872975067758453	48.9810789096868	0.394276459782368	36.5397972972973	1471.65709192421	1.49757593427685	2.04944609603915	10.9589754773674	0.857984220026387	0.307558208302313	0.724263634113152	0.0165931857580372	5.53918922050481	0.902227540797584	26.1575891688817	0.481434385243857	34.9021911608047	1185.29595980896	1.5244907747522	2.03736688913527	5.53918922050481	0.717652879435094	0.324134297031826	0.742581914112905	0.012693827937172	15.2485797899811	0.696016661542706	25.5154422335633	0.335086590182862	35.4215300103717	1213.82372513021	1.4905580281206	2.14113513782726	15.2485797899811	0.897926484463943	0.221100534391372	0.636306551496076	0.702828270170792	0.283509494096689	0.594919632295168	0.668322660345217	0.0576437372578388	0.209999286853178	0.727272727272727	0.272727272727273	0
001-01-B05	74	2722.5	268	33.0624608645081	10.7004529740541	11.970446853665	54.8872459599759	564.5	79	13.1594161278065	2.31636195517438	8.65482079755999	16.7963925280369	454.468677113071	249.374688330463	92.3340157585125	0.864196153840296	0.107841856613239	457.943919117288	248.494669128012	84.4302052308425	0.869588003479447	0.219264895351377	457.243601427583	246.999813037829	49.8227015575072	0.814750317377313	0.114986100471617	455.560358860072	249.13390538002	90.4383660882601	0.867442396152085	0.149963571823797	458.357651157603	247.080814155352	33.28690750601	0.798031429913999	0.012099445981048	457.942977763835	247.466327054225	33.2263143944373	0.793043265006729	0.144161574101256	457.505077832776	247.123385545559	30.8224381228174	0.781070464733385	-0.0111359675943749	0.297151000862645	0.133832115358888	0.114770682352941	0.0843529411764705	0.117529411764706	0.272352941176471	0.529747058823528	0.681529411764706	0.190868712049524	0.107208203498944	0.0877350352941176	0.0543725490196079	0.0642352941176471	0.162862745098039	0.39956862745098	0.53764705882353	0.123379431076571	0.19377633829908	0.0173842117647059	0.0141568627450981	0.0141568627450981	0.0258823529411765	0.588705882352941	0.67078431372549	0.359715375640371	0.150563782678149	0.13935787224692	0.11024696939047	0.136919211088262	0.345487358775666	0.625178419970609	0.813300299117329	0.278424605794887	0.0710588712592014	0.0655832470588235	0.150705882352941	0.17835294117647	0.261294117647059	0.418605882352941	0.492257647058823	0.261836260451897	0.0761456976751737	0.0584900235294118	0.143137254901961	0.162862745098039	0.241764705882353	0.439019607843137	0.527784313725491	0.49015195900605	0.1275821980328	0.121689482352941	0.190039215686275	0.22521568627451	0.503696078431372	0.67078431372549	0.705960784313725	0.0194671385390796	4.73852535674003	0.867260356859316	17.640449527374	0.535110139259411	19.5241564976866	405.505314842773	1.44855822882745	1.99434912955312	4.73852535674003	0.688568083215962	0.278299161042837	0.686135150910217	0.0139970391109687	10.5173764998379	0.665118340314537	17.5362554477603	0.412819159192627	19.5624428569104	405.950313815481	1.42452629230218	2.10005787763121	10.5173764998379	0.826923628859754	0.157337320914777	0.558624236517083	0.0495619369310128	1.32169177744005	0.936126187877708	12.1677499430633	0.70295452220583	13.1019808483451	176.592983277258	1.31563536802559	1.61161774490757	1.32169177744005	0.479399016598195	0.438418614827942	0.769105074066847	0.0327560097609257	3.43730316206547	0.837385873717277	12.209635002703	0.565899687510449	13.2853084415584	178.858540724218	1.30913684492471	1.7816146107348	3.43730316206547	0.636419937496602	0.281981803177696	0.656430542002433	0.349049267519799	1.13764212107162	0.98327246636901	38.2899070666658	0.827832547876812	8.67403155483141	210.100873016706	0.89527250544385	1.05534336961776	1.13764212107162	0.384928649530733	0.594553782598176	0.765283096839321	0.318053240097047	3.82569552844745	0.942908429847245	38.8671384596059	0.751726690247676	8.89311155013493	215.731424712646	0.930778916688501	1.15713867706619	3.82569552844745	0.531222930791256	0.472095989446357	0.709966654900486	0.01457828297164	5.20553568493654	0.887279081768464	22.3887412681646	0.516812014834567	23.5514365541123	581.001012094783	1.51194014285087	2.11487372303988	5.20553568493654	0.705880605523136	0.295863364902157	0.719559585821459	0.00994801849379942	12.4367855745762	0.713857813540427	22.3544660270484	0.388295931445656	23.8795202875895	583.392667058205	1.49851918525163	2.23485012413343	12.4367855745762	0.865257777312842	0.174467685692632	0.589369019013648	0.0449564278586899	2.0233535026074	0.792301054982115	5.54590510373298	0.606056030058759	18.1472986806545	309.469322243134	1.16797849818663	1.5428799989735	2.0233535026074	0.55713547622976	0.265927597227264	0.601134789583124	0.0354451541513194	4.22499763203117	0.511840915846643	5.23445404115366	0.490182359303093	18.0464887915684	301.65152452356	1.11726378976332	1.61962196646611	4.22499763203117	0.677968171860327	0.129981198922505	0.446095272787789	0.080986207472296	1.07294985956922	0.890790381244315	5.69845644398506	0.721712860792886	17.2371713713686	287.455082624354	1.1289674385858	1.39068484341076	1.07294985956922	0.450511102710323	0.378154820250031	0.70133702026158	0.0625142969747871	2.6006205439662	0.72737023807009	5.457882446483	0.586288728693004	17.0771425175324	277.13149933105	1.11907249497739	1.4753218296494	2.6006205439662	0.582948005439139	0.243921436825853	0.576897927312029	0.0215698134572846	3.2279469044015	0.880789550786385	14.5154954955532	0.520189639091115	32.0013079988921	979.253272579703	1.40857613003323	1.87782132451681	3.2279469044015	0.640505027316545	0.320146686446803	0.716501980297826	0.0153702633745414	8.8138746578105	0.659765552300807	13.9859867423595	0.366982239160358	32.2718128693332	1009.9859004839	1.37547413208126	1.9893208192068	8.8138746578105	0.824916864894814	0.187361855449421	0.573470629128452	0.410775242235585	-0.0431626899564216	0.387143234040721	0.407585825554118	-0.173857672924492	-0.0846499122045875	0.148648648648649	0.824324324324324	0.027027027027027
